Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]
2/26/2011 20:09:33,24 - 30 años,Puno,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"Prototype, graybox",Femenino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,1 a 3 años,,Más de 6 años,No,No conozco,No conozco,Menos de 1 año
2/26/2011 20:54:31,31 - 40 años,Cusco,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,,Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,No conozco,,1 año o menos,No,No conozco,No conozco,No conozco
2/26/2011 21:58:39,17 - 23 años,Lima,1 a 3 años,Menos de 1 año,No conozco,4 a 6 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 año o menos,4 a 6 años,No conozco,1 año o menos,1 año o menos,1 año o menos,,De 6501 a 7500,En universidad o instituto,Trabajo como independiente,"dojo, jQuery, Prototype, script.aculo.us",Masculino,Linux,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",1 a 3 años,1 a 3 años,1 a 3 años,,1 año o menos,Sí,Menos de 1 año,Menos de 1 año,1 a 3 años
2/26/2011 22:21:18,24 - 30 años,Amazonas,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"jQuery UI, MooTools",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/26/2011 22:29:37,24 - 30 años,Arequipa,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,Más de 6 años,1 a 3 años,1 a 3 años,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, Prototype, script.aculo.us, YUI",Masculino,Linux,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,4 a 6 años,,Más de 6 años,Sí,1 a 3 años,1 a 3 años,No conozco
2/27/2011 7:14:34,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,1 año o menos,,Menos de 1500 soles,En universidad o instituto,No trabajo,jQuery,Masculino,Linux,Documentación en la web,Menos de 1 año,No conozco,Menos de 1 año,,1 año o menos,No,Menos de 1 año,Menos de 1 año,No conozco
2/27/2011 8:34:17,31 - 40 años,Lima,No conozco,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,Menos de 1 año,4 a 6 años,No conozco,Más de 6 años,Más de 6 años,1 año o menos,Más de 6 años,No conozco,No conozco,4 a 6 años,,De 4501 a 5500,Maestría,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas",1 a 3 años,1 a 3 años,4 a 6 años,,Más de 6 años,No,No conozco,No conozco,No conozco
2/27/2011 12:51:18,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,jQuery,Masculino,Windows,"Documentación en la web, En la universidad o instituto",Menos de 1 año,Menos de 1 año,Menos de 1 año,,1 a 3 años,No,No conozco,No conozco,No conozco
2/27/2011 12:53:24,17 - 23 años,Junín,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,Más de 6 años,1 año o menos,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,Menos de 1 año,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/27/2011 13:05:56,24 - 30 años,Lima,No conozco,No conozco,No conozco,4 a 6 años,Menos de 1 año,,1 a 3 años,4 a 6 años,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,1 año o menos,No conozco,No conozco,1 a 3 años,,De 3501 a 4500,En universidad o instituto,Trabajo como dependiente,"dojo, jQuery, jQuery UI, Prototype",Masculino,Windows,"Documentación en la web, En la universidad o instituto",1 a 3 años,No conozco,4 a 6 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/27/2011 19:50:46,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,No conozco,,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas",Menos de 1 año,Menos de 1 año,Menos de 1 año,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/27/2011 20:01:44,31 - 40 años,Amazonas,No conozco,Menos de 1 año,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,4 a 6 años,1 a 3 años,1 a 3 años,1 año o menos,No conozco,No conozco,No conozco,,De 2501 a 3500,Graduado de instituto,Trabajo como independiente,"jQuery, Prototype, script.aculo.us, YUI",Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,4 a 6 años,,4 a 6 años,Sí,No conozco,1 a 3 años,No conozco
2/27/2011 20:04:07,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 a 3 años,1 año o menos,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",1 a 3 años,No conozco,1 a 3 años,,1 a 3 años,No,No conozco,No conozco,No conozco
2/27/2011 20:07:44,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, Prototype",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,Menos de 1 año,,Más de 6 años,Sí,No conozco,No conozco,Menos de 1 año
2/27/2011 20:09:42,24 - 30 años,Lima,Más de 6 años,No conozco,No conozco,1 a 3 años,Menos de 1 año,,1 a 3 años,4 a 6 años,Menos de 1 año,Más de 6 años,1 a 3 años,1 a 3 años,4 a 6 años,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente e independiente,jQuery,Masculino,Windows,"Documentación en la web, En la universidad o instituto, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",No conozco,No conozco,4 a 6 años,,Más de 6 años,Sí,No conozco,No conozco,1 a 3 años
2/27/2011 20:16:25,17 - 23 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 año o menos,1 a 3 años,1 año o menos,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,jQuery,Femenino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,Menos de 1 año,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/27/2011 20:16:53,17 - 23 años,Lima,Menos de 1 año,4 a 6 años,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,1 a 3 años,No conozco,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,"dojo, jQuery, MooTools, script.aculo.us",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,4 a 6 años,,Más de 6 años,Sí,Más de 6 años,4 a 6 años,No conozco
2/27/2011 20:25:16,17 - 23 años,Tacna,Menos de 1 año,No conozco,No conozco,4 a 6 años,4 a 6 años,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,1 año o menos,No conozco,No conozco,4 a 6 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, YUI",Masculino,Windows,"Documentación en la web, Cursos en línea",4 a 6 años,1 a 3 años,1 a 3 años,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,No conozco
2/27/2011 20:52:45,24 - 30 años,Apurímac,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,No conozco,4 a 6 años,1 a 3 años,1 año o menos,1 a 3 años,No conozco,1 año o menos,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, Prototype",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",1 a 3 años,Menos de 1 año,1 a 3 años,,Más de 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/27/2011 21:03:38,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",1 a 3 años,No conozco,1 a 3 años,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/27/2011 21:48:41,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,4 a 6 años,No conozco,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,1 año o menos,4 a 6 años,1 año o menos,No conozco,1 año o menos,1 año o menos,,De 4501 a 5500,Graduado de instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI, ExtJS",Masculino,Windows,"Documentación en la web, En la universidad o instituto",Menos de 1 año,No conozco,4 a 6 años,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/27/2011 21:49:36,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,4 a 6 años,No conozco,,4 a 6 años,1 a 3 años,Menos de 1 año,4 a 6 años,1 a 3 años,4 a 6 años,1 año o menos,No conozco,No conozco,4 a 6 años,,De 2501 a 3500,Graduado de instituto,Trabajo como dependiente,"jQuery, jQuery UI, MooTools, script.aculo.us",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto",4 a 6 años,Menos de 1 año,1 a 3 años,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/27/2011 22:30:23,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,1 a 3 años,1 a 3 años,Menos de 1 año,Menos de 1 año,1 año o menos,1 a 3 años,1 año o menos,No conozco,No conozco,1 año o menos,,De 2501 a 3500,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI, Prototype, script.aculo.us",Masculino,Windows,Documentación en la web,Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/27/2011 22:31:22,24 - 30 años,Lima,Más de 6 años,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Más de 6 años,Más de 6 años,1 a 3 años,Más de 6 años,1 a 3 años,1 a 3 años,Más de 6 años,No conozco,No conozco,1 año o menos,,De 3501 a 4500,Maestría,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, YUI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Más de 6 años,,Más de 6 años,Sí,No conozco,1 a 3 años,1 a 3 años
2/27/2011 22:35:12,24 - 30 años,Lima,No conozco,No conozco,No conozco,Más de 6 años,Más de 6 años,,Más de 6 años,Más de 6 años,4 a 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,No conozco,Más de 6 años,,De 3501 a 4500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",Más de 6 años,No conozco,Más de 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/27/2011 22:53:38,24 - 30 años,Pasco,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,1 año o menos,4 a 6 años,1 año o menos,1 a 3 años,1 a 3 años,4 a 6 años,,De 2501 a 3500,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,4 a 6 años,,4 a 6 años,Sí,Menos de 1 año,Menos de 1 año,1 a 3 años
2/27/2011 22:56:25,31 - 40 años,La Libertad,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,No conozco,No conozco,4 a 6 años,,De 1501 a 2500,Maestría,Trabajo como dependiente e independiente,MooTools,Masculino,Linux,"Seminarios web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",4 a 6 años,4 a 6 años,4 a 6 años,,Más de 6 años,No,1 a 3 años,1 a 3 años,4 a 6 años
2/27/2011 23:01:46,17 - 23 años,Lima,4 a 6 años,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,1 año o menos,1 a 3 años,4 a 6 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",1 a 3 años,Menos de 1 año,1 a 3 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/27/2011 23:21:46,17 - 23 años,Lima,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,1 a 3 años,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, ExtJS",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,Menos de 1 año,1 a 3 años,,Más de 6 años,Sí,1 a 3 años,1 a 3 años,Menos de 1 año
2/28/2011 0:23:51,17 - 23 años,Pasco,No conozco,No conozco,No conozco,Menos de 1 año,4 a 6 años,,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,1 a 3 años,1 a 3 años,4 a 6 años,No conozco,1 a 3 años,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Linux,"Seminarios web, Documentación en la web, Cursos en línea",Menos de 1 año,No conozco,1 a 3 años,,Más de 6 años,Sí,1 a 3 años,No conozco,No conozco
2/28/2011 0:41:49,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,,1 a 3 años,Menos de 1 año,No conozco,Menos de 1 año,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,1 a 3 años,,1 año o menos,No,No conozco,No conozco,No conozco
2/28/2011 0:52:03,17 - 23 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"dojo, jQuery",Masculino,Mac,"Documentación en la web, En la universidad o instituto",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/28/2011 1:54:03,31 - 40 años,Lima,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Más de 6 años,,Más de 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,No conozco,Más de 6 años,No conozco,1 año o menos,1 año o menos,1 año o menos,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Linux,"Documentación en la web, En grupos de amigos o compañeros de trabajo, Eventos de software libre",Menos de 1 año,No conozco,Más de 6 años,,Más de 6 años,No,Menos de 1 año,No conozco,No conozco
2/28/2011 2:00:06,17 - 23 años,Amazonas,No conozco,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,1 a 3 años,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,Escolar,Trabajo como independiente,"jQuery, jQuery UI, MooTools",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,Menos de 1 año
2/28/2011 6:48:38,24 - 30 años,Arequipa,Menos de 1 año,Menos de 1 año,No conozco,4 a 6 años,Más de 6 años,,4 a 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,1 a 3 años,Más de 6 años,1 a 3 años,No conozco,No conozco,Más de 6 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",4 a 6 años,Menos de 1 año,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,No conozco
2/28/2011 7:37:24,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,Más de 6 años,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,No conozco,,De 5501 a 6500,Maestría,Trabajo como dependiente,,Masculino,Windows,"Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,No conozco,1 a 3 años,,No conozco,No,No conozco,No conozco,No conozco
2/28/2011 9:03:41,17 - 23 años,Callao,1 a 3 años,No conozco,No conozco,1 a 3 años,No conozco,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,No conozco,Menos de 1 año,,No conozco,No,No conozco,No conozco,No conozco
2/28/2011 9:16:40,31 - 40 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Linux,"Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,Menos de 1 año,,1 a 3 años,No,No conozco,No conozco,No conozco
2/28/2011 9:27:27,41 - 50 años,Arequipa,No conozco,Menos de 1 año,Menos de 1 año,4 a 6 años,Más de 6 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,Más de 6 años,4 a 6 años,No conozco,No conozco,No conozco,4 a 6 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,dojo,Masculino,Linux,Documentación en la web,4 a 6 años,No conozco,Más de 6 años,,Más de 6 años,No,Menos de 1 año,No conozco,Menos de 1 año
2/28/2011 9:44:16,24 - 30 años,Lima,No conozco,No conozco,No conozco,4 a 6 años,No conozco,,1 a 3 años,1 a 3 años,No conozco,4 a 6 años,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, Prototype, YUI, extjs",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",Menos de 1 año,Menos de 1 año,4 a 6 años,,1 a 3 años,Sí,Menos de 1 año,Menos de 1 año,No conozco
2/28/2011 9:48:12,17 - 23 años,Pasco,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 año o menos,1 año o menos,No conozco,1 año o menos,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente,"jQuery, Prototype",Masculino,Linux,"Documentación en la web, Cursos en línea",Menos de 1 año,No conozco,Menos de 1 año,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/28/2011 9:56:53,31 - 40 años,Lima,Menos de 1 año,Menos de 1 año,No conozco,Más de 6 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,Más de 6 años,No conozco,1 a 3 años,1 año o menos,1 año o menos,No conozco,1 año o menos,,De 5501 a 6500,Maestría,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, YUI, ExtJS",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",Más de 6 años,No conozco,Más de 6 años,,Más de 6 años,No,Menos de 1 año,Menos de 1 año,No conozco
2/28/2011 10:07:49,24 - 30 años,Lima,1 a 3 años,Menos de 1 año,Menos de 1 año,4 a 6 años,4 a 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,1 año o menos,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,De 5501 a 6500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, ExtJS",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",1 a 3 años,Menos de 1 año,4 a 6 años,,Más de 6 años,Sí,1 a 3 años,Menos de 1 año,Menos de 1 año
2/28/2011 10:25:32,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,4 a 6 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,En la universidad o instituto,1 a 3 años,Menos de 1 año,1 a 3 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
