"Marca temporal","¿En qué región vives actualmente?","¿Qué edad tienes?","¿Cuál es tu sexo?","¿Cuál es tu grado de instrucción?","¿Cuántos años de experiencia tienes en Desarrollo Web?","¿Cuál es tu situación laboral actual como desarrollador web? ","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","En tu trabajo actual ¿Tu función principal es desarrollo web?","¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?","Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:","Tu función principal en el desarrollo web es:","¿Qué sistema operativo usas principalmente como entorno de desarrollo?","¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?","¿Cuantos años de experiencia tienes con...? [.NET]","¿Cuantos años de experiencia tienes con...? [Go]","¿Cuantos años de experiencia tienes con...? [Java]","¿Cuantos años de experiencia tienes con...? [Node.js]","¿Cuantos años de experiencia tienes con...? [PHP]","¿Cuantos años de experiencia tienes con...? [Python]","¿Cuantos años de experiencia tienes con...? [Ruby]","¿Cuantos años de experiencia tienes con...? [Rust]","¿Qué frameworks backend cononces?","¿Qué frameworks backend utilizas?","¿Qué frameworks de JavaScript conoces?","¿Qué frameworks de JavaScript utilizas?","¿Con qué pre/post procesadores has trabajado?","¿Con qué herramientas de automatizacion has trabajado?","¿Con qué bases de datos relacionales has trabajado?","¿Con qué bases de datos no relacionales has trabajado?","¿Con qué plataformas Cloud has trabajado?","¿A través de qué medios aprendes sobre desarrollo web?","¿Para qué sistemas operativos móviles has desarrollado aplicaciones?","Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?"
"2019/01/28 12:29:58 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 6 a 10 años","Trabajo como independiente","","","","Sí","Sí","De 5501 a más","Ha aumentado","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory;Editor de sombreadores","Menos de 1 año","Menos de 1 año","Menos de 1 año","De 1 a 3 años","Más de 6 años","De 1 a 3 años","Menos de 1 año","No conozco","Laravel (PHP);CodeIgniter (PHP);Ruby on Rails;Zend Framework;Symfony (PHP);Express (Node.js)","Laravel (PHP);Ruby on Rails","jQuery;jQuery UI;AngularJS;Backbone.js;React;Vue.js","jQuery;jQuery UI;AngularJS;React;Vue.js","SASS;LESS;Stylus;PostCSS","Grunt;Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB","Amazon Web Services;Una nube privada (implementación a medida);Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Reac Native"
"2019/01/28 1:57:03 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","De 6 a 10 años","Trabajo como dependiente e independiente","Sí","Sí","","","No","De 4501 a 5500 soles","Es igual","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Inspector de almacenamiento / Resources / Storage","Más de 6 años","Menos de 1 año","Más de 6 años","Menos de 1 año","Más de 6 años","Menos de 1 año","Menos de 1 año","No conozco","Zend Framework;Symfony (PHP);Spring Boot (Java)","Zend Framework;Symfony (PHP)","jQuery;AngularJS;Backbone.js","jQuery;Backbone.js","Stylus;CoffeeScript","","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB;Apache Cassandra","Amazon Web Services;Google Cloud Platform;Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","NativeScript"
"2019/01/28 2:41:04 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 5501 a más","Ha aumentado","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory;Editor de sombreadores;Canvas;Audio web;Borrador;Accesibilidad","De 4 a 6 años","Menos de 1 año","Más de 6 años","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","Menos de 1 año","Menos de 1 año","CodeIgniter (PHP);Zend Framework;Symfony (PHP);Spring Boot (Java)","CodeIgniter (PHP)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Vue.js;Framework7;Sencha;Kendo","jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;Vue.js;Framework7;Sencha;Kendo","SASS;LESS","Grunt;Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB;Redis","Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure","Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Apache Cordova;Phonegap"
"2019/01/28 3:01:45 p. m. GMT-5","Lima","17 - 23 años","Hombre","Estudiantes de instituto","De 1 a 3 años","Trabajo como dependiente","","","Sí","","Sí","De 3501 a 4500 soles","Ha aumentado","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory","Menos de 1 año","No conozco","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","Menos de 1 año","Menos de 1 año","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Spring Boot (Java);Flask (Python);Sinatra (Ruby);Express (Node.js)","Laravel (PHP)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;D3.js;Vue.js","jQuery;jQuery UI;AngularJS;React;Vue.js","SASS;LESS;Pug;CoffeeScript;PostCSS","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","Amazon Web Services;Una nube privada (implementación a medida);Microsoft Azure","Documentación en la web;Cursos en línea de plataformas de pago;En la universidad o instituto","Android;Webapps móviles (híbridas para cualquier plataforma)","Reac Native"
"2019/01/29 12:31:29 a. m. GMT-5","Lima","17 - 23 años","Hombre","Estudiante de universidad","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Canvas;Audio web","No conozco","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","No conozco","Django (Python);Flask (Python);Express (Node.js)","Express (Node.js)","jQuery;React;D3.js;p5js","jQuery;React;D3.js;p5js","","","MySQL;Microsoft SQL Server","MongoDB;Redis","Una nube privada (implementación a medida)","Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Seminarios Web / Webinars","Android;Webapps móviles (híbridas para cualquier plataforma)","Reac Native;Progressive Web Apps"
"2019/01/29 9:50:00 a. m. GMT-5","Puno","31 - 40 años","Hombre","Graduado de universidad","De 6 a 10 años","Trabajo como independiente","","","","Sí","Sí","De 1501 a 2500 soles","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Audio web","Menos de 1 año","No conozco","De 4 a 6 años","Menos de 1 año","Más de 6 años","Menos de 1 año","Menos de 1 año","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Symfony (PHP)","Laravel (PHP);CodeIgniter (PHP);Django (Python);Symfony (PHP)","jQuery;jQuery UI;AngularJS","jQuery;jQuery UI;AngularJS","","Gulp","MySQL;Microsoft SQL Server;PostgreSQL","","Amazon Web Services;Google Cloud Platform;Digitalocean, Linode","Documentación en la web;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars","Android",""
"2019/01/29 11:28:06 p. m. GMT-5","Callao","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 3501 a 4500 soles","Es igual","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Canvas;Audio web;Accesibilidad","De 4 a 6 años","No conozco","De 1 a 3 años","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Zend Framework","Laravel (PHP);Symfony (PHP)","jQuery;jQuery UI;AngularJS;React;Sencha;Kendo","jQuery;jQuery UI;AngularJS;Sencha;Kendo","SASS;LESS","Grunt;Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB;Redis;CouchDB","Google Cloud Platform;Microsoft Azure","Documentación en la web","",""
"2019/01/30 2:29:30 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de instituto","Menos de 1 año","No trabajo actualmente","","","","","","","Es igual","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","Menos de 1 año","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","Django (Python)","","jQuery;AngularJS;React;Vue.js","AngularJS","SASS","","MySQL","Firebase realtime","Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Seminarios Web / Webinars","",""
"2019/01/30 4:06:28 a. m. GMT-5","Áncash","17 - 23 años","Hombre","Graduado de universidad","De 1 a 3 años","No trabajo actualmente","","","","","","","Ha aumentado","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory","Menos de 1 año","No conozco","De 4 a 6 años","No conozco","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Spring Boot (Java)","Laravel (PHP);Spring Boot (Java)","jQuery;jQuery UI;AngularJS;React;Vue.js","jQuery;jQuery UI;AngularJS","SASS","Gulp","MySQL;PostgreSQL;Oracle Database;ASA","MongoDB","Una nube privada (implementación a medida)","Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups","Android",""
"2019/01/30 8:09:30 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 4501 a 5500 soles","Ha aumentado","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Canvas;Accesibilidad","Menos de 1 año","No conozco","Menos de 1 año","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Spring Boot (Java);Flask (Python);Express (Node.js);Hapi (Node.js)","Laravel (PHP);Django (Python);Flask (Python);Express (Node.js)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;Vue.js","jQuery;jQuery UI;React","SASS;LESS","Grunt;Gulp;WebPack","MySQL;Microsoft SQL Server;Oracle Database","MongoDB;CouchDB","Amazon Web Services;Google Cloud Platform;Microsoft Azure;IBM Cloud","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto;Comunidades locales de desarrollo;Seminarios Web / Webinars","Android","Reac Native"
"2019/01/30 8:28:16 a. m. GMT-5","Callao","17 - 23 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","Menos de 1500 soles","Ha aumentado","Frontend","Microsoft Windows","Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de almacenamiento / Resources / Storage","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","Laravel (PHP);Express (Node.js)","Express (Node.js)","AngularJS;React;Vue.js","AngularJS;React","SASS;Stylus;Pug","Gulp;WebPack","PostgreSQL","MongoDB","Amazon Web Services;Google Cloud Platform;IBM Cloud","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Comunidades locales de desarrollo","Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework"
"2019/01/30 9:15:23 a. m. GMT-5","Piura","17 - 23 años","Hombre","Estudiante de universidad","De 1 a 3 años","Trabajo como independiente","","","","Sí","Sí","Menos de 1500 soles","Ha disminuido","Fullstack","GNU/Linux","Consola","Menos de 1 año","No conozco","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP);Spring Boot (Java);Express (Node.js)","Laravel (PHP);Spring Boot (Java);Express (Node.js)","jQuery;jQuery UI;AngularJS;Vue.js","jQuery;jQuery UI;Vue.js","SASS;LESS;Stylus","WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","VPS DIGITAL OCEAN","Documentación en la web;YOUTUBE","Android;Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework"
"2019/01/30 9:45:49 a. m. GMT-5","Lima","17 - 23 años","Hombre","Graduado de universidad","De 1 a 3 años","No trabajo actualmente","","","","","","","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","Django (Python);Spring Boot (Java);Flask (Python);Express (Node.js)","Django (Python);Flask (Python);Express (Node.js)","jQuery;jQuery UI;AngularJS;React","jQuery;jQuery UI","Pug","","MySQL;PostgreSQL","MongoDB;Redis","","Documentación en la web;Cursos en línea de plataformas de pago","",""
"2019/01/30 10:26:52 a. m. GMT-5","Lima","17 - 23 años","Hombre","Estudiante de universidad","Menos de 1 año","Trabajo como dependiente","","","No","","Sí","De 1501 a 2500 soles","Ha aumentado","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Accesibilidad","No conozco","No conozco","Menos de 1 año","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Spring Boot (Java);Express (Node.js)","Laravel (PHP);CodeIgniter (PHP)","jQuery;jQuery UI;AngularJS;React;Vue.js","jQuery;jQuery UI","","","MySQL","","Webfaction","Documentación en la web;Comunidades locales de desarrollo;videos de YouTube","",""
"2019/01/30 10:56:22 a. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de instituto","De 1 a 3 años","Trabajo como dependiente e independiente","No","Sí","","","Sí","De 1501 a 2500 soles","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","No conozco","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Zend Framework;Express (Node.js)","Laravel (PHP);CodeIgniter (PHP);Express (Node.js)","jQuery;jQuery UI;React;Vue.js","jQuery;React;Vue.js","SASS;LESS","WebPack","MySQL;PostgreSQL","","Amazon Web Services;Una nube privada (implementación a medida)","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior)","Android;Webapps móviles (híbridas para cualquier plataforma)","Reac Native"
"2019/01/30 11:36:47 a. m. GMT-5","Lima","24 - 30 años","Hombre","Estudiantes de instituto","Menos de 1 año","Trabajo como independiente","","","","Sí","Sí","Menos de 1500 soles","Es igual","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","No conozco","No conozco","No conozco","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","CodeIgniter (PHP)","","jQuery;AngularJS","jQuery;jQuery UI","SASS;Pug","Gulp","","","Una nube privada (implementación a medida)","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Seminarios Web / Webinars","",""
"2019/01/30 12:00:35 p. m. GMT-5","Callao","31 - 40 años","Hombre","Graduado de universidad","Mayor a 10 años","Trabajo como dependiente","","","No","","No","De 5501 a más","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de almacenamiento / Resources / Storage","No conozco","No conozco","De 1 a 3 años","De 4 a 6 años","Más de 6 años","De 1 a 3 años","Menos de 1 año","No conozco","CodeIgniter (PHP);Express (Node.js)","CodeIgniter (PHP);Express (Node.js)","jQuery;jQuery UI;Sencha","jQuery;jQuery UI","SASS;LESS;Jade","","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","","Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform","Documentación en la web;Libros, revistas y otras publicaciones impresas;En la universidad o instituto","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Apache Cordova;Phonegap"
"2019/01/30 12:02:15 p. m. GMT-5","Lima","31 - 40 años","Hombre","Estudiante de universidad","Mayor a 10 años","Trabajo como independiente","","","","Sí","Sí","De 4501 a 5500 soles","Es igual","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","De 1 a 3 años","Menos de 1 año","Más de 6 años","De 1 a 3 años","Más de 6 años","Menos de 1 año","Menos de 1 año","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Express (Node.js)","Laravel (PHP)","jQuery;jQuery UI;AngularJS;React;Vue.js","jQuery;React;Vue.js","SASS;LESS","WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure;IBM Cloud","Documentación en la web","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Apache Cordova;Phonegap;Reac Native"
"2019/01/30 12:04:39 p. m. GMT-5","Lima","24 - 30 años","Hombre","Estudiante de universidad","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","De 2501 a 3500 soles","Ha aumentado","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger","Menos de 1 año","No conozco","Menos de 1 año","No conozco","De 1 a 3 años","De 1 a 3 años","No conozco","Menos de 1 año","Laravel (PHP);Django (Python);Spring Boot (Java);Flask (Python)","Laravel (PHP);Django (Python);Spring Boot (Java)","jQuery;jQuery UI;AngularJS;React;Vue.js","jQuery;jQuery UI;React","SASS;Stylus;PostCSS","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","Apache Cassandra","Amazon Web Services;Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Android;Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework;Reac Native"
"2019/01/30 12:12:05 p. m. GMT-5","Lima","24 - 30 años","Hombre","Estudiante de universidad","De 6 a 10 años","Trabajo como independiente","","","","Sí","Sí","De 3501 a 4500 soles","Ha aumentado","Backend","Mac","Consola","De 1 a 3 años","No conozco","De 1 a 3 años","Menos de 1 año","Más de 6 años","De 1 a 3 años","Menos de 1 año","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Spring Boot (Java);Flask (Python);Express (Node.js)","Laravel (PHP);Django (Python);Ruby on Rails;Spring Boot (Java);Express (Node.js)","jQuery;AngularJS;React;Vue.js","jQuery;Vue.js","SASS;Pug","WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","Amazon Web Services;Una nube privada (implementación a medida);Digital ocean","Documentación en la web","Webapps móviles (híbridas para cualquier plataforma);iOS","Reac Native"
"2019/01/30 12:53:45 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","De 6 a 10 años","Trabajo como dependiente e independiente","Sí","No","","","Sí","De 4501 a 5500 soles","Es igual","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance","De 1 a 3 años","Menos de 1 año","Menos de 1 año","De 4 a 6 años","De 4 a 6 años","De 4 a 6 años","De 1 a 3 años","Menos de 1 año","Laravel (PHP);Django (Python);Ruby on Rails;Spring Boot (Java);Flask (Python);Webpy (Python);Express (Node.js)","Django (Python);Ruby on Rails;Express (Node.js)","jQuery;jQuery UI;AngularJS;React;Vue.js","jQuery;AngularJS;React","SASS;LESS","Grunt;Gulp","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis;CouchDB","Amazon Web Services;Una nube privada (implementación a medida)","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars","Android;Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework;Apache Cordova;Phonegap;Reac Native"
"2019/01/30 6:04:51 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de instituto","De 4 a 6 años","Trabajo como independiente","","","","No","No","Menos de 1500 soles","Ha aumentado","Frontend","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory;Canvas;Audio web","No conozco","No conozco","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","Laravel (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Play Framework (Java);Express (Node.js);Hapi (Node.js)","","jQuery;jQuery UI;AngularJS","jQuery;jQuery UI;AngularJS","Stylus","","MySQL;Oracle Database","Redis;CouchDB","Una nube privada (implementación a medida);Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior)","",""
"2019/01/30 9:59:56 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de instituto","De 1 a 3 años","No trabajo actualmente","","","","","","","Ha disminuido","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","Ruby on Rails","Ruby on Rails","jQuery;Vue.js","jQuery;Vue.js","SASS;Stylus;Pug","Gulp;WebPack","Microsoft SQL Server","NO HE TRABAJADO CON NINGUNA BD NO RELACIONAL","NO HE TRABAJADO CON NINGUNA PATAFORMA CLOUD","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","NO HE REALIZADO","NO HE REALIZADO"
"2019/01/31 8:35:36 p. m. GMT-5","Lima","31 - 40 años","Hombre","Maestría","De 4 a 6 años","Trabajo como dependiente","","","Sí","","Sí","De 4501 a 5500 soles","Ha aumentado","Backend","Microsoft Windows","Depurador de JavaScript / Debugger","Menos de 1 año","No conozco","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","Django (Python);Ruby on Rails;Play Framework (Java);Spring Boot (Java);Flask (Python);Sinatra (Ruby);Webpy (Python);Express (Node.js)","Django (Python);Ruby on Rails;Play Framework (Java);Spring Boot (Java);Flask (Python);Sinatra (Ruby);Express (Node.js)","AngularJS;Backbone.js;React;Ember.js;Vue.js","jQuery UI;AngularJS;Backbone.js;D3.js","SASS","WebPack","PostgreSQL","MongoDB","Amazon Web Services","Documentación en la web;Libros, revistas y otras publicaciones impresas","Webapps móviles (híbridas para cualquier plataforma)",""
"2019/02/01 7:30:55 a. m. GMT-5","Lima","17 - 23 años","Hombre","Graduado de universidad","Menos de 1 año","No trabajo actualmente","","","","","","","Ha disminuido","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer","De 1 a 3 años","No conozco","De 4 a 6 años","De 1 a 3 años","No conozco","No conozco","No conozco","No conozco","Spring Boot (Java);Express (Node.js)","Express (Node.js)","jQuery;AngularJS;React;Vue.js","React","SASS","WebPack","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB","Amazon Web Services","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas","Webapps móviles (híbridas para cualquier plataforma);No experiencia ","No experiencia "
"2019/02/01 7:34:12 a. m. GMT-5","Lima","31 - 40 años","Mujer","Graduado de universidad","Mayor a 10 años","Trabajo como dependiente e independiente","No","Sí","","","No","De 5501 a más","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance","De 4 a 6 años","No conozco","De 4 a 6 años","De 4 a 6 años","De 1 a 3 años","De 1 a 3 años","Más de 6 años","No conozco","Ruby on Rails;Sinatra (Ruby);Cuba (Ruby);Express (Node.js)","Ruby on Rails;Sinatra (Ruby);Cuba (Ruby)","jQuery;jQuery UI;Backbone.js;React;Sencha","jQuery;React","SASS;LESS;Stylus;CoffeeScript;PostCSS","Grunt;Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","MongoDB;Redis;CouchDB","Amazon Web Services","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo","Webapps móviles (híbridas para cualquier plataforma);iOS","Apache Cordova;Phonegap;Reac Native;Rubymotion"
