¿En qué región vives actualmente?,¿Qué edad tienes?,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual como desarrollador web? ,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",Tu función principal en el desarrollo web es:,¿Qué sistema operativo usas principalmente como entorno de desarrollo?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Qué editor utilizas regularmente?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Cuantos años de experiencia tienes con...? [Rust],¿Cuantos años de experiencia tienes con...? [Lisp],¿Cuantos años de experiencia tienes con...? [Scala],¿Cuantos años de experiencia tienes con...? [Swift],¿Cuantos años de experiencia tienes con...? [Kotlin],¿Cuantos años de experiencia tienes con...? [JavaScript],¿Cuantos años de experiencia tienes con...? [TypeScript],¿Cuantos años de experiencia tienes con...? [Flow],¿Qué frameworks backend cononces?,¿Qué frameworks backend utilizas?,¿Qué frameworks de JavaScript conoces?,¿Qué frameworks de JavaScript utilizas?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?,¿Sueles utilizar test en tus proyectos?,¿Contribuyes con algún proyecto open source o software libre?,¿Haz asistido a algún evento o meetup local?,Indica el nombre de la comunidad o del meetup al que asististe,En los últimos 12 meses ¿Has asistido ha alguna conferencia internacional fuera del Perú?
Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Accesibilidad","Visual Studio Code, Notepad++, Eclipse",De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,"CodeIgniter (PHP), Ruby on Rails, Spring Boot (Java), Flask (Python)","CodeIgniter (PHP), Spring Boot (Java), Flask (Python)","jQuery, jQuery UI, AngularJS, D3.js, Vue.js","jQuery, jQuery UI, AngularJS, D3.js, Vue.js",SASS,"Gulp, WebPack","MySQL, Microsoft SQL Server, Oracle Database",,"Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, En la universidad o instituto","Android, Webapps móviles (híbridas para cualquier plataforma)","Apache Cordova, Phonegap, Progressive Web Apps",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",,No
Lambayeque,31 - 40 años,Mujer,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,No,,Sí,De 3501 a 4500 soles,Ha aumentado,Frontend,GNU/Linux,"Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Flask (Python),Flask (Python),"jQuery, React, D3.js","jQuery, React, D3.js",SASS,WebPack,PostgreSQL,,Amazon Web Services,"Documentación en la web, En grupos de amigos o compañeros de trabajos / Meetups",Webapps móviles (híbridas para cualquier plataforma),Progressive Web Apps,A veces,"Trabajo full-time haciendo open source, y recibo un pago por ello","Sí, al menos una vez al mes",LimaJS,No
Piura,17 - 23 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,Menos de 1500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Canvas",Visual Studio Code,Menos de 1 año,No conozco,De 1 a 3 años,De 4 a 6 años,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,De 4 a 6 años,No conozco,"Laravel (PHP), Django (Python), Spring Boot (Java), Express (Node.js)","Laravel (PHP), Django (Python), Express (Node.js)","jQuery, jQuery UI, AngularJS, React, Vue.js, Angular","jQuery, jQuery UI, AngularJS, React, Vue.js","SASS, LESS",WebPack,"MySQL, Microsoft SQL Server, PostgreSQL",MongoDB,"Una nube privada (implementación a medida), Heroku, Digital ocean","Documentación en la web, En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo","Android, Webapps móviles (híbridas para cualquier plataforma), iOS, Flutter","Ionic Framework, React Native, Progressive Web Apps, Flutter, Flutter no son webapps",Sí,He hecho alguna contribución alguna vez,"Sí, de vez en cuando",Gdg,No
Lima,31 - 40 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Visual Studio Code, IntelliJ, Eclipse",No conozco,No conozco,Menos de 1 año,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,"Ruby on Rails, Spring Boot (Java), Express (Node.js)","Spring Boot (Java), Express (Node.js)","jQuery, React",React,Styled components,"Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, Oracle Database",MongoDB,"Amazon Web Services, Google Cloud Platform, Heroku","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas",Android,,A veces,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",,No
Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 3501 a 4500 soles,Es igual,Backend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance","Visual Studio Code, PhpStorm",Menos de 1 año,No conozco,No conozco,Menos de 1 año,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,"CodeIgniter (PHP), Symfony (PHP)",,"jQuery, Vue.js","jQuery, jQuery UI",SASS,,"MySQL, PostgreSQL",,Amazon Web Services,Documentación en la web,,,A veces,He hecho alguna contribución alguna vez,"No, pero me gustaría",,No
Ica,24 - 30 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 3501 a 4500 soles,Es igual,Frontend,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance","Visual Studio Code, Sublime",Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Symfony (PHP)","Laravel (PHP), CodeIgniter (PHP)","jQuery, jQuery UI, AngularJS, Backbone.js, React","jQuery, jQuery UI","SASS, LESS",,"MySQL, Microsoft SQL Server",,Amazon Web Services,"Documentación en la web, En grupos de amigos o compañeros de trabajos / Meetups, Cursos de educación continua (fuera de planes de estudio superior)","Android, iOS","Ionic Framework, Phonegap",Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",,No
Lima,31 - 40 años,Mujer,Estudiantes de instituto,Mayor a 10 años,Trabajo como dependiente,,,Sí,,No,De 4501 a 5500 soles,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,Menos de 1 año,No conozco,Más de 6 años,De 4 a 6 años,Más de 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,No conozco,"Laravel (PHP), Django (Python), Symfony (PHP), Express (Node.js)",Express (Node.js),"jQuery, jQuery UI, AngularJS, React, Vue.js",React,"SASS, Pug","Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",MongoDB,"Amazon Web Services, Google Cloud Platform, Microsoft Azure","Documentación en la web, Cursos en línea de plataformas de pago, En la universidad o instituto","Android, Webapps móviles (híbridas para cualquier plataforma)","Apache Cordova, Phonegap, React Native",No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 5501 a más,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Editor de sombreadores, Accesibilidad","Sublime, PhpStorm, WebStorm",Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Zend Framework, Symfony (PHP), Express (Node.js)","Laravel (PHP), Express (Node.js)","jQuery, jQuery UI, Vue.js, Sencha",Vue.js,"SASS, LESS, Stylus, Pug","Grunt, Gulp, WebPack","MySQL, PostgreSQL",MongoDB,"Amazon Web Services, Una nube privada (implementación a medida)",Documentación en la web,Android,Progressive Web Apps,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando","Frontend.pe, VueJs.pe",No
Piura,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,No trabajo actualmente,,,,,,,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Audio web","Visual Studio Code, NetBeans",No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Symfony (PHP), Spring Boot (Java), Express (Node.js)","Laravel (PHP), Django (Python), Spring Boot (Java)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI, AngularJS, Vue.js","SASS, LESS",,"MySQL, Microsoft SQL Server, PostgreSQL",MongoDB,Heroku,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo",,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 2501 a 3500 soles,Es igual,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance","Visual Studio Code, Atom",Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP)","Laravel (PHP), CodeIgniter (PHP)",jQuery,jQuery,,,"MySQL, PostgreSQL",,"Amazon Web Services, Google Cloud Platform","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), En grupos de amigos o compañeros de trabajos / Meetups, Seminarios Web / Webinars",,React Native,No,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Mozilla,No
Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Panic CODA,De 1 a 3 años,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,,,jQuery,jQuery,"SASS, LESS","Grunt, Gulp, WebPack",MySQL,,Amazon Web Services,Documentación en la web,iOS,,No,"No, y no me gustaría hacerlo","Sí, de vez en cuando",,No
Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Es igual,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Editor de sombreadores","Visual Studio Code, Sublime",Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Express (Node.js), Hapi (Node.js), NextJS","Laravel (PHP), CodeIgniter (PHP), Express (Node.js), Hapi (Node.js)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI, AngularJS, React, Vue.js","SASS, LESS, Stylus",Gulp,"MySQL, Microsoft SQL Server",MongoDB,"Heroku, netlify","Documentación en la web, Udemy, Treehouse",Webapps móviles (híbridas para cualquier plataforma),Xamarin,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Piura,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,No,Sí,Menos de 1500 soles,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Editor de sombreadores",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Laravel (PHP), Ruby on Rails, Spring Boot (Java), Express (Node.js)","Django (Python), Express (Node.js)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI, AngularJS",SASS,WebPack,"MySQL, Microsoft SQL Server, PostgreSQL",MongoDB,"Amazon Web Services, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),Flutter,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",GDG Piura,No
Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,Menos de 1500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola","Visual Studio Code, Sublime, Atom",No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), Express (Node.js)","Laravel (PHP), Express (Node.js)","jQuery, React, Vue.js","React, Vue.js","SASS, Pug",WebPack,"MySQL, Microsoft SQL Server",MongoDB,"Amazon Web Services, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En la universidad o instituto",,,Sí,"No, pero me gustaria hacerlo","No, y no estoy interesado en asistir",,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 5501 a más,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Editor de sombreadores","Visual Studio Code, WebStorm",No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,Menos de 1 año,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Spring Boot (Java), Express (Node.js), Nestjs","Symfony (PHP), Express (Node.js), Nestjs","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, D3.js, Zepto.js, Vue.js",React,"SASS, LESS, Stylus, Pug, CoffeeScript, PostCSS","Grunt, Gulp, WebPack","MySQL, PostgreSQL","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Seminarios Web / Webinars, twitter, medium, etc","Android, Webapps móviles (híbridas para cualquier plataforma)","React Native, Progressive Web Apps, Flutter",Sí,"Sí, regularmente (al menos una vez al mes)","Sí, de vez en cuando",Limajs,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 3501 a 4500 soles,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Editor de sombreadores, Accesibilidad",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,De 1 a 3 años,Menos de 1 año,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Express (Node.js), Hapi (Node.js)","Django (Python), Express (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, D3.js, Dojo, Vue.js, Framework7, Kendo","jQuery, AngularJS, React, D3.js, Vue.js, Kendo","SASS, LESS, Stylus, Pug, PostCSS","Grunt, Gulp, Brocoli, WebPack","MySQL, PostgreSQL, Oracle Database",MongoDB,"Amazon Web Services, Google Cloud Platform, IBM Cloud, Heroku","Documentación en la web, Libros, revistas y otras publicaciones impresas, En la universidad o instituto",Webapps móviles (híbridas para cualquier plataforma),"Ionic Framework, React Native, NativeScript, Progressive Web Apps",A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Estudiantes de instituto,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 2501 a 3500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Visual Studio Code,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,De 4 a 6 años,No conozco,"Laravel (PHP), CodeIgniter (PHP)","Laravel (PHP), CodeIgniter (PHP)","jQuery, AngularJS","jQuery, jQuery UI, AngularJS",,,"MySQL, PostgreSQL, Informix IBM",,"Amazon Web Services, Una nube privada (implementación a medida)","Documentación en la web, Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Mujer,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Sublime,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP), Laminas (PHP)",,"jQuery, jQuery UI, AngularJS, Backbone.js, React, Vue.js, Framework7, Sencha","jQuery, jQuery UI","SASS, LESS, Pug","Grunt, Gulp",MySQL,Apache Cassandra,Una nube privada (implementación a medida),"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",,,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Wordpress,No
Lima,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Visual Studio Code, Notepad++, Eclipse",No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,"Laravel (PHP), Spring Boot (Java), Express (Node.js)",Spring Boot (Java),"jQuery, AngularJS, React, Vue.js","AngularJS, React","SASS, LESS, Stylus","Gulp, WebPack","MySQL, Microsoft SQL Server, Oracle Database",MongoDB,Amazon Web Services,"Cursos en línea de plataformas de pago, En la universidad o instituto",Webapps móviles (híbridas para cualquier plataforma),Flutter,Sí,"No, y no me gustaría hacerlo","No, pero me gustaría",,No
Lima,17 - 23 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Spring Boot (Java)",Ninguno,"jQuery, AngularJS, React",jQuery,"SASS, Pug","Gulp, WebPack",MySQL,No he trabajado con bd no relacionales,"Amazon Web Services, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas",Android,Androide Studio,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",JsMeetup,No
Lima,41 - 50 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Es igual,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Accesibilidad",Visual Studio Code,De 1 a 3 años,No conozco,Menos de 1 año,De 1 a 3 años,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,"Laravel (PHP), Zend Framework, Express (Node.js)","Laravel (PHP), Zend Framework, Express (Node.js)","jQuery, React","jQuery, React",SASS,"Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis",Amazon Web Services,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Cursos de educación continua (fuera de planes de estudio superior)",,,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",AWS Group Lima,No
